attendance,home_initial,vis_initial,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,class,frac_season,day_hour,ref1,ref2,ref3,home_temp,travel_miles
18055,HOU,NOP,93.10456870502388,46.918472302336646,70.948238652186,46.3777463330548,3.0,,,,,,1,0.022727272727272728,20.0,John Goble,Ben Taylor,Dedric Taylor,57.08,318.3
18354,SAS,WAS,69.35806130708379,55.117406031240996,71.05118336210586,62.63443443443443,4.0,,,,105.66666666666669,106.33333333333331,1,0.022727272727272728,20.5,Ray Acosta,Tony Brown,Marat Kogut,56.88,1387.1
18306,UTA,SAC,79.58822886615962,37.7050478927203,72.63762626262627,52.856278014002065,2.0,39.0,,,,,0,0.022727272727272728,21.0,Brian Forte,Scott Foster,Justin Van Duyne,48.25,533.5
15802,PHO,LAC,52.288732454049466,62.00029484937319,57.01159652690863,60.40823101629553,3.0,25.0,,,,,1,0.022727272727272728,22.0,Jacyn Goble,David Guthrie,Tre Maddox,71.21,357.5
18203,OKC,GSW,71.29610190575707,52.51661057252179,61.200280296062715,54.85728874731986,5.0,,,,,,0,0.028409090909090905,15.5,James Williams,Haywoode Workman,Zach Zarba,57.26,1389.0
15517,MEM,BRK,58.586653575680934,52.67384725757608,67.38366910866911,64.56484453046953,4.0,11.333333333333336,,,,,1,0.028409090909090905,18.0,Brandon Adair,Mark Lindsay,Ken Mauer,72.32,956.4
19707,DAL,POR,72.53974074314631,49.943422632921475,87.64486258041941,35.141906431334625,4.0,12.333333333333336,,,,,1,0.028409090909090905,19.0,Brent Barnaky,Courtney Kirkland,Derek Richardson,63.76,1633.3
17049,MIN,MIA,76.30544232714819,58.05642197055361,62.1126779681736,43.75551003510904,3.0,20.333333333333336,,,,,1,0.028409090909090905,19.0,James Capers Jr.,Ashley Moyer-Gleich,J.T. Orr,64.52,1511.2
18997,LAL,CHO,76.0387136672851,34.94499211506705,60.02316534040672,61.70908108764164,4.0,26.666666666666664,,,,,1,0.028409090909090905,21.5,Curtis Blair,Jacyn Goble,Josh Tiven,63.0,2119.6
19812,NYK,CHI,70.85283100324084,49.06148264346482,62.07626373626374,58.10828484718277,4.0,24.333333333333336,,,111.0,111.0,0,0.03409090909090909,19.0,Mitchell Ervin,Matt Myers,Kevin Scott,57.83,712.5
13565,DET,IND,55.20842650592874,66.12421832338964,69.9182215598609,46.26655746146609,4.0,15.666666666666668,109.33333333333331,102.33333333333331,,,0,0.03409090909090909,19.0,John Conley,Karl Lane,Ed Malloy,51.29,488.3
19800,TOR,ORL,79.32961993457275,63.96959896522397,75.10818744934066,48.63988095238096,4.0,20.33333333333333,,,,,0,0.03409090909090909,19.5,Derrick Collins,Sean Corbin,Nate Green,,1047.8
14094,ATL,PHI,82.41167752775345,53.607968123268,85.35058598808598,49.12255966725422,4.0,15.0,,,,,0,0.03409090909090909,19.5,Rodney Mott,Evan Scott,Scott Wall,57.83,666.0
18055,HOU,OKC,93.10456870502388,46.918472302336646,71.29610190575707,52.51661057252179,3.0,19.0,117.33333333333331,117.66666666666669,,,1,0.03409090909090909,20.0,Brian Forte,Natalie Sago,Sean Wright,68.76,413.2
17385,MIL,CLE,84.68414327306655,51.25511793448649,73.76398305084746,31.81364699627857,4.0,21.66666666666667,,,,,1,0.03409090909090909,20.0,Scott Foster,Marat Kogut,Justin Van Duyne,17.79,336.2
17307,NOP,GSW,69.36887357282093,66.1874144427229,60.73670610635116,55.32086293703143,3.0,26.33333333333333,,,,,1,0.03409090909090909,20.0,Pat Fraher,Gediminas Petraitis,Phenizee Ransom,53.5,1925.9
18083,SAS,POR,69.35806130708377,55.117406031240996,82.15550087829175,31.63126813346228,3.0,9.666666666666668,114.33333333333331,119.0,114.66666666666669,117.66666666666669,1,0.03409090909090909,20.5,Leroy Richardson,James Williams,Zach Zarba,67.96,1719.4
14805,PHO,UTA,60.72136403299685,65.95362818270652,79.58822886615962,37.7050478927203,4.0,17.333333333333332,104.33333333333331,116.33333333333331,,,0,0.03409090909090909,22.0,Tony Brown,Mousa Dagher,Ben Taylor,65.08,504.3
15870,SAC,DEN,72.63762626262627,52.856278014002065,76.44851097178685,50.44244243963584,5.0,21.666666666666664,,,,,0,0.03409090909090909,22.0,Curtis Blair,David Guthrie,Jonathan Sterling,40.7,889.0
19068,LAC,CHO,57.01159652690863,60.29284640091093,60.02316534040672,61.70908108764165,3.0,32.66666666666667,,,,,0,0.03409090909090909,22.5,Nick Buchert,John Goble,Leon Wood,,2119.6
19600,MIA,ATL,69.48107828338243,55.877850460640964,82.41167752775345,50.34481022853115,3.0,16.0,,,,,0,0.03977272727272727,19.5,Ray Acosta,Kevin Cutler,Pat Fraher,83.89,604.2
16605,DEN,DAL,76.44851097178685,50.44244243963584,79.22487548927293,48.48181729855958,3.0,7.666666666666666,,,,,0,0.03977272727272727,21.0,Tre Maddox,J.T. Orr,Josh Tiven,65.39,662.4
18997,LAL,MEM,76.0387136672851,32.94499211506705,58.586653575680934,52.67384725757608,4.0,31.666666666666664,92.66666666666669,111.66666666666669,,,0,0.03977272727272727,22.5,Brent Barnaky,Jonathan Sterling,Tom Washington,58.58,1603.2
17595,CLE,CHI,73.76398305084746,31.81364699627857,62.07626373626374,58.10828484718277,4.0,23.66666666666667,,,108.0,106.33333333333331,1,0.045454545454545456,19.0,Derrick Collins,Rodney Mott,Phenizee Ransom,39.93,307.8
17456,ORL,NYK,75.10818744934063,48.63988095238096,65.95838655879639,43.978149310131464,4.0,22.333333333333336,,,109.33333333333331,101.0,0,0.045454545454545456,19.0,Tony Brothers,Kevin Cutler,Jacyn Goble,81.75,937.4
20204,PHI,MIN,85.35058598808598,41.082381095825646,76.30544232714819,51.701583260876205,5.0,27.0,,,114.0,114.33333333333331,0,0.045454545454545456,19.0,Mark Ayotte,Mitchell Ervin,Scott Twardoski,61.08,985.3
18624,BOS,MIL,84.81301248427059,27.791335171648086,84.68414327306655,51.25511793448649,6.0,24.333333333333336,,,,,1,0.045454545454545456,19.5,Marc Davis,Tyler Ford,Dedric Taylor,59.56,858.5
17083,BRK,IND,67.38366910866911,64.56484453046953,77.90169982073047,46.2665574614661,5.0,12.666666666666668,118.0,115.66666666666669,104.66666666666669,103.66666666666669,1,0.045454545454545456,19.5,Nate Green,Michael Smith,Bill Spooner,58.4,965.5
19800,TOR,DET,79.32961993457275,63.96959896522397,55.20842650592874,66.12421832338964,4.0,21.66666666666667,110.0,119.66666666666669,,,1,0.045454545454545456,19.5,Brandon Adair,Kane Fitzgerald,Marat Kogut,48.44,206.8
18203,OKC,POR,68.0913997113997,45.80751966343088,82.15550087829175,40.63126813346229,4.0,14.333333333333332,97.0,101.33333333333331,110.33333333333331,111.0,0,0.045454545454545456,20.0,Tony Brown,J.B. DeRosa,Scott Wall,62.45,1486.7
20476,WAS,HOU,71.05118336210585,50.11591591591592,93.10456870502388,46.918472302336646,6.0,7.666666666666666,,,,,1,0.045454545454545456,20.0,James Capers Jr.,Jason Goldenberg,Kevin Scott,58.4,1219.3
15416,SAC,CHO,79.63995726495726,45.85394701167107,60.02316534040672,61.70908108764165,4.0,29.0,113.66666666666669,105.66666666666669,114.0,105.0,1,0.045454545454545456,22.0,Eric Lewis,Aaron Smith,Ben Taylor,33.73,2244.7
18306,UTA,LAC,79.58822886615962,37.7050478927203,48.79885142886942,44.82284640091092,4.0,28.0,90.66666666666669,107.66666666666669,120.66666666666669,119.66666666666669,0,0.045454545454545456,22.0,Brent Barnaky,Derek Richardson,Josh Tiven,23.38,579.4
